模型: gpt-5
生成时间: 2025-09-24 14:46:48
==================================================

数据流
- M: s=1, t=18, b=5
- 路径: 1-14-6-10-13-2-18
- 分配方式: 单路径，沿路径各链路分配5

每条边的初始/结束状态与带宽分配（格式: u-v: UC/RC -> UC'/RC', alloc）
- 0-5: 5/5 -> 5/5, 0
- 0-6: 3/7 -> 3/7, 0
- 0-13: 4/6 -> 4/6, 0
- 1-7: 5/5 -> 5/5, 0
- 1-14: 3/7 -> 8/2, 5
- 2-5: 3/7 -> 3/7, 0
- 2-10: 4/6 -> 4/6, 0
- 2-13: 2/8 -> 7/3, 5
- 2-18: 1/9 -> 6/4, 5
- 2-19: 1/9 -> 1/9, 0
- 3-4: 5/5 -> 5/5, 0
- 3-6: 1/9 -> 1/9, 0
- 3-9: 2/8 -> 2/8, 0
- 3-13: 2/8 -> 2/8, 0
- 3-14: 4/6 -> 4/6, 0
- 3-19: 3/7 -> 3/7, 0
- 4-18: 3/7 -> 3/7, 0
- 5-11: 4/6 -> 4/6, 0
- 5-14: 5/5 -> 5/5, 0
- 5-16: 2/8 -> 2/8, 0
- 6-10: 2/8 -> 7/3, 5
- 6-12: 5/5 -> 5/5, 0
- 6-14: 2/8 -> 7/3, 5
- 6-15: 5/5 -> 5/5, 0
- 6-16: 3/7 -> 3/7, 0
- 7-15: 3/7 -> 3/7, 0
- 7-17: 3/7 -> 3/7, 0
- 7-19: 3/7 -> 3/7, 0
- 8-9: 3/7 -> 3/7, 0
- 8-10: 2/8 -> 2/8, 0
- 8-13: 2/8 -> 2/8, 0
- 8-17: 4/6 -> 4/6, 0
- 8-19: 3/7 -> 3/7, 0
- 9-16: 2/8 -> 2/8, 0
- 10-13: 1/9 -> 6/4, 5
- 10-17: 5/5 -> 5/5, 0
- 10-19: 5/5 -> 5/5, 0
- 11-14: 2/8 -> 2/8, 0
- 11-19: 3/7 -> 3/7, 0
- 12-14: 2/8 -> 2/8, 0
- 12-16: 5/5 -> 5/5, 0
- 12-18: 5/5 -> 5/5, 0
- 14-16: 4/6 -> 4/6, 0
- 14-17: 3/7 -> 3/7, 0
- 15-19: 2/8 -> 2/8, 0
- 16-19: 1/9 -> 1/9, 0

每条边的带宽分配
- 1-14:5, 6-14:5, 6-10:5, 10-13:5, 2-13:5, 2-18:5
- 其余边:0

最终MLU
- 0.8
