模型: gpt-5
生成时间: 2025-10-03 11:42:30
==================================================

数据流: s=2, t=16, b=4
路径: 2-19-16
分配方式: 单路径，沿路径每条边分配4，其余为0

每条边初始/分配/结束状态(UC0, RC0, alloc, UC1, RC1):
(0,5): UC0=5, RC0=5, alloc=0, UC1=5, RC1=5
(0,6): UC0=3, RC0=7, alloc=0, UC1=3, RC1=7
(0,13): UC0=4, RC0=6, alloc=0, UC1=4, RC1=6
(1,7): UC0=5, RC0=5, alloc=0, UC1=5, RC1=5
(1,14): UC0=3, RC0=7, alloc=0, UC1=3, RC1=7
(2,5): UC0=3, RC0=7, alloc=0, UC1=3, RC1=7
(2,10): UC0=4, RC0=6, alloc=0, UC1=4, RC1=6
(2,13): UC0=2, RC0=8, alloc=0, UC1=2, RC1=8
(2,18): UC0=1, RC0=9, alloc=0, UC1=1, RC1=9
(2,19): UC0=1, RC0=9, alloc=4, UC1=5, RC1=5
(3,4): UC0=5, RC0=5, alloc=0, UC1=5, RC1=5
(3,6): UC0=1, RC0=9, alloc=0, UC1=1, RC1=9
(3,9): UC0=2, RC0=8, alloc=0, UC1=2, RC1=8
(3,13): UC0=2, RC0=8, alloc=0, UC1=2, RC1=8
(3,14): UC0=4, RC0=6, alloc=0, UC1=4, RC1=6
(3,19): UC0=3, RC0=7, alloc=0, UC1=3, RC1=7
(4,18): UC0=3, RC0=7, alloc=0, UC1=3, RC1=7
(5,11): UC0=4, RC0=6, alloc=0, UC1=4, RC1=6
(5,14): UC0=5, RC0=5, alloc=0, UC1=5, RC1=5
(5,16): UC0=2, RC0=8, alloc=0, UC1=2, RC1=8
(6,10): UC0=2, RC0=8, alloc=0, UC1=2, RC1=8
(6,12): UC0=5, RC0=5, alloc=0, UC1=5, RC1=5
(6,14): UC0=2, RC0=8, alloc=0, UC1=2, RC1=8
(6,15): UC0=5, RC0=5, alloc=0, UC1=5, RC1=5
(6,16): UC0=3, RC0=7, alloc=0, UC1=3, RC1=7
(7,15): UC0=3, RC0=7, alloc=0, UC1=3, RC1=7
(7,17): UC0=3, RC0=7, alloc=0, UC1=3, RC1=7
(7,19): UC0=3, RC0=7, alloc=0, UC1=3, RC1=7
(8,9): UC0=3, RC0=7, alloc=0, UC1=3, RC1=7
(8,10): UC0=2, RC0=8, alloc=0, UC1=2, RC1=8
(8,13): UC0=2, RC0=8, alloc=0, UC1=2, RC1=8
(8,17): UC0=4, RC0=6, alloc=0, UC1=4, RC1=6
(8,19): UC0=3, RC0=7, alloc=0, UC1=3, RC1=7
(9,16): UC0=2, RC0=8, alloc=0, UC1=2, RC1=8
(10,13): UC0=1, RC0=9, alloc=0, UC1=1, RC1=9
(10,17): UC0=5, RC0=5, alloc=0, UC1=5, RC1=5
(10,19): UC0=5, RC0=5, alloc=0, UC1=5, RC1=5
(11,14): UC0=2, RC0=8, alloc=0, UC1=2, RC1=8
(11,19): UC0=3, RC0=7, alloc=0, UC1=3, RC1=7
(12,14): UC0=2, RC0=8, alloc=0, UC1=2, RC1=8
(12,16): UC0=5, RC0=5, alloc=0, UC1=5, RC1=5
(12,18): UC0=5, RC0=5, alloc=0, UC1=5, RC1=5
(14,16): UC0=4, RC0=6, alloc=0, UC1=4, RC1=6
(14,17): UC0=3, RC0=7, alloc=0, UC1=3, RC1=7
(15,19): UC0=2, RC0=8, alloc=0, UC1=2, RC1=8
(16,19): UC0=1, RC0=9, alloc=4, UC1=5, RC1=5

MLU: 0.5
